"uuid","AuthorYear","Include","QuestionOrReason","BiasRating","N","StatType","StatTypeDetails","ModelDescription","StatGrouping","...11","Stat","CILow","CIHigh","SE","T-Ratio","Wald","PValue","Statistic from Largest Model","Table","ModelNumber","Finding In Abstract?","PreventativeOrRecovery","OutcomeType","OutcomeSubType","OutcomeScale","OutcomeScaleDetails","OutcomeDetails","ToInvert","DrugsIncludeMarijuana","OutcomeNotes","Outcome Measured at Baseline?","ExposureCategory","Exposure","Exposure - Additional Notes","Exposure Measured at Baseline","Summary (SI)","Notes","CountryPopulation","Design (F/U Period)","Description of Quality/Bias","Reference","SheetRowNumber","id","id_masked"
"5264077b-b9a9-4148-a823-be8baae60732","Adamczyk and Felson 2012","no",NA,"Low / Moderate","2530","OR",NA,NA,NA,NA,0.99,NA,NA,NA,NA,NA,">0.1","yes","6","7",NA,NA,"Substance Use","Alcohol","Frequency","Use (Frequency)","Alcohol use",NA,NA,NA,NA,"Activities","Religious Sponsored Activities","Involvement in activities sponsored by religious organizations",NA,NA,NA,"US Youth (median age 15) from the National Study of Youth and Religion","Prospective cohort study (2 years)","Controlled for baseline outcomes and multiple other potential confounders (maternal demographics and behaviors, income, neighborhood factors); adjusted significance levels to account for multiple testing.",NA,12,"Adamczyk and Felson 2012 - 12","0532b1"
"dc8f5ca3-2361-4fd9-adfa-5a4afd3c4ac2","Adamczyk and Felson 2012","no",NA,"Low / Moderate","2530","OR",NA,NA,NA,NA,1.03,NA,NA,NA,NA,NA,"<0.001","yes","6","7",NA,NA,"Substance Use","Alcohol","Frequency","Use (Frequency)","Alcohol use",NA,NA,NA,NA,"Activities","Non-Religious Sponsored Activities","Involvement in activities sponsored by non-religious organizations (vs activities sponsored by religious organizations)",NA,"Involvement in activities sponsored by non-religious organizations (vs activities sponsored by religious organizations) is associated with more alcohol use [OR=1.03, p<0.001]",NA,"US Youth (median age 15) from the National Study of Youth and Religion","Prospective cohort study (2 years)","Controlled for baseline outcomes and multiple other potential confounders (maternal demographics and behaviors, income, neighborhood factors); adjusted significance levels to account for multiple testing.",NA,13,"Adamczyk and Felson 2012 - 13","b04a9b"
"0afc2ce6-224c-4dc1-a34f-0ca24f1a45ea","Adamczyk and Felson 2012","yes",NA,"Low / Moderate","2530","OR",NA,NA,"OR",NA,0.79,NA,NA,NA,NA,NA,"<0.001","yes","6","8","no","preventative","Substance Use","Alcohol","Frequency","Use (Frequency)","Alcohol use",NA,NA,NA,NA,"R/S","Importance of Faith",NA,NA,NA,NA,"US Youth (median age 15) from the National Study of Youth and Religion","Prospective cohort study (2 years)","Controlled for baseline outcomes and multiple other potential confounders (maternal demographics and behaviors, income, neighborhood factors); adjusted significance levels to account for multiple testing.",NA,14,"Adamczyk and Felson 2012 - 14","b09118"
"562c956c-7abc-4501-b978-cb4263d3076a","Adamczyk and Felson 2012","yes",NA,"Low / Moderate","2530","OR",NA,NA,"OR",NA,0.98,NA,NA,NA,NA,NA,">0.1","yes","6","8","no","preventative","Substance Use","Alcohol","Frequency","Use (Frequency)","Alcohol use",NA,NA,NA,NA,"R/S","Prayer frequency",NA,NA,NA,NA,"US Youth (median age 15) from the National Study of Youth and Religion","Prospective cohort study (2 years)","Controlled for baseline outcomes and multiple other potential confounders (maternal demographics and behaviors, income, neighborhood factors); adjusted significance levels to account for multiple testing.",NA,15,"Adamczyk and Felson 2012 - 15","18c884"
"72a0e79a-dc1c-4c7d-855b-addd60d9ec92","Adamczyk and Felson 2012","yes",NA,"Low / Moderate","2530","OR","oridinal logit",NA,"OR",NA,1.02,NA,NA,NA,NA,NA,">0.1","yes","6","8","no","preventative","Substance Use","Alcohol","Frequency","Use (Frequency)","Alcohol use",NA,NA,NA,NA,"RSA","Religious Service Attendance",NA,NA,NA,NA,"US Youth (median age 15) from the National Study of Youth and Religion","Prospective cohort study (2 years)","Controlled for baseline outcomes and multiple other potential confounders (maternal demographics and behaviors, income, neighborhood factors); adjusted significance levels to account for multiple testing.",NA,16,"Adamczyk and Felson 2012 - 16","7396dd"
"3c23a969-8182-41d1-a23b-4630374aa8e3","Adamczyk and Felson 2012","no",NA,"Low / Moderate","2530","OR",NA,NA,NA,NA,0.96,NA,NA,NA,NA,NA,"<0.1","yes","6","8",NA,NA,"Substance Use","Alcohol","Frequency","Use (Frequency)","Alcohol use",NA,NA,NA,NA,"Parents","Parental Religious Service Attendance",NA,NA,NA,NA,"US Youth (median age 15) from the National Study of Youth and Religion","Prospective cohort study (2 years)","Controlled for baseline outcomes and multiple other potential confounders (maternal demographics and behaviors, income, neighborhood factors); adjusted significance levels to account for multiple testing.",NA,17,"Adamczyk and Felson 2012 - 17","a84539"
"a17a3230-96ca-47c4-b7bb-456199158993","Bailey et al. 2015","yes",NA,"Low / Moderate","4496","OR","high-high; multinomial regression",NA,"OR",NA,0.3,0.22,0.41,NA,NA,NA,"<0.001",NA,"3","PersistentSmoker","yes","preventative","Substance Use","Smoking","Dichotomous","Use (Active)","Smoking status (dichotomous)",NA,NA,"Odds of being a persistent smoker compared to a non-smoker; (smokers at baseline and follow-up)",NA,"RSA","Religious Service Attendance",NA,NA,"All measures of religious involvement (measured at two timepoints, hence two values, e.g., high- low) were associated with decreased odds of being a persistent smoker compared to a non-smoker: religious attendance [ORhigh- high=0.30 (95% CI: 0.22, 0.41)]","Multinomial regression models: religious involvement in relation to smoking pattern; adjustment for age, gender, race, education, and income","US Adults 20-79 from the Midlife in the United States (MIDUS) study","Prospective cohort study (9-10 years)","Controlled for baseline outcomes and some potential confounders (SES, parental marriage status, employment status, etc.).",NA,18,"Bailey et al. 2015 - 18","832130"
"6f02a358-c758-4ec3-aa23-a617113a51a6","Bailey et al. 2015","no",NA,"Low / Moderate","4496","OR","high-low",NA,NA,NA,0.59,0.41,0.85,NA,NA,NA,"<0.01",NA,"3","PersistentSmoker",NA,NA,"Substance Use","Smoking","Dichotomous","Use (Active)","Smoking status (dichotomous)",NA,NA,"Odds of being a persistent smoker compared to a non-smoker; (smokers at baseline and follow-up)",NA,"RSA","Religious Service Attendance",NA,NA,"All measures of religious involvement (measured at two timepoints, hence two values, e.g., high- low) were associated with decreased odds of being a persistent smoker compared to a non-smoker: religious attendance [ORhigh-low=0.59 (95% CI: 0.41, 0.85)]",NA,"US Adults 20-79 from the Midlife in the United States (MIDUS) study","Prospective cohort study (9-10 years)","Controlled for baseline outcomes and some potential confounders (SES, parental marriage status, employment status, etc.).",NA,19,"Bailey et al. 2015 - 19","8c54f1"
"c8136e44-e420-4850-8689-dd8ddb720b7a","Bailey et al. 2015","no",NA,"Low / Moderate","","OR","low-high",NA,NA,NA,0.98,0.63,1.54,NA,NA,NA,">0.05",NA,"3","PersistentSmoker",NA,NA,"Substance Use","Smoking","Dichotomous","Use (Active)","Smoking status (dichotomous)",NA,NA,"Odds of being a persistent smoker compared to a non-smoker; (smokers at baseline and follow-up)",NA,"RSA","Religious Service Attendance",NA,NA,NA,NA,"US Adults 20-79 from the Midlife in the United States (MIDUS) study","Prospective cohort study (9-10 years)","Controlled for baseline outcomes and some potential confounders (SES, parental marriage status, employment status, etc.).",NA,20,"Bailey et al. 2015 - 20","709fe8"
"3370338f-2d74-4ca6-8242-d43303637050","Bailey et al. 2015","no",NA,"Low / Moderate","","OR","low-low (Ref)",NA,NA,NA,1,NA,NA,NA,NA,NA,"n/a",NA,"3","PersistentSmoker Reference",NA,NA,"Substance Use","Smoking","Dichotomous","Use (Active)","Smoking status (dichotomous)",NA,NA,"Odds of being a persistent smoker compared to a non-smoker; (smokers at baseline and follow-up)",NA,"RSA","Religious Service Attendance",NA,NA,NA,NA,"US Adults 20-79 from the Midlife in the United States (MIDUS) study","Prospective cohort study (9-10 years)","Controlled for baseline outcomes and some potential confounders (SES, parental marriage status, employment status, etc.).",NA,21,"Bailey et al. 2015 - 21","e1742e"
"8b4e6a5b-4bf9-47d8-80b4-22a0034afaca","Bailey et al. 2015","no",NA,"Low / Moderate","4496","OR","high-high",NA,NA,NA,0.51,0.34,0.76,NA,NA,NA,"<0.001",NA,"3","Ex-smoker",NA,NA,"Substance Use","Smoking","Dichotomous","Use (Discontinued)","Smoking status (dichotomous)",NA,NA,"Odds of having been a smoker; (smokers at baseline and non-smokers at follow-up)",NA,"RSA","Religious Service Attendance",NA,NA,"High religious involvement at both time points was associated with decreased odds of having been a smoker: religious attendance [ORhigh-high=0.51 (95% CI: 0.34, 0.76)]",NA,"US Adults 20-79 from the Midlife in the United States (MIDUS) study","Prospective cohort study (9-10 years)","Controlled for baseline outcomes and some potential confounders (SES, parental marriage status, employment status, etc.).",NA,22,"Bailey et al. 2015 - 22","b281c3"
"bb58a580-fd27-4483-8879-4f0ef2489ea9","Bailey et al. 2015","no",NA,"Low / Moderate","","OR","high-low",NA,NA,NA,0.8,0.49,1.29,NA,NA,NA,">0.05",NA,"3","Ex-smoker",NA,NA,"Substance Use","Smoking","Dichotomous","Use (Discontinued)","Smoking status (dichotomous)",NA,NA,"Odds of having been a smoker; (smokers at baseline and non-smokers at follow-up)",NA,"RSA","Religious Service Attendance",NA,NA,NA,NA,"US Adults 20-79 from the Midlife in the United States (MIDUS) study","Prospective cohort study (9-10 years)","Controlled for baseline outcomes and some potential confounders (SES, parental marriage status, employment status, etc.).",NA,23,"Bailey et al. 2015 - 23","eaf625"
"f3303d04-5ae9-4f51-9b7f-0a33f6a39eb2","Bailey et al. 2015","no",NA,"Low / Moderate","","OR","low-high",NA,NA,NA,1.23,0.68,2.23,NA,NA,NA,">0.05",NA,"3","Ex-smoker",NA,NA,"Substance Use","Smoking","Dichotomous","Use (Discontinued)","Smoking status (dichotomous)",NA,NA,"Odds of having been a smoker; (smokers at baseline and non-smokers at follow-up)",NA,"RSA","Religious Service Attendance",NA,NA,NA,NA,"US Adults 20-79 from the Midlife in the United States (MIDUS) study","Prospective cohort study (9-10 years)","Controlled for baseline outcomes and some potential confounders (SES, parental marriage status, employment status, etc.).",NA,24,"Bailey et al. 2015 - 24","534acb"
"6fea7deb-8821-4071-840e-4c506fd67a0f","Bailey et al. 2015","no",NA,"Low / Moderate","","OR","low-low (Ref)",NA,NA,NA,1,NA,NA,NA,NA,NA,"",NA,"3","Ex-smoker",NA,NA,"Substance Use","Smoking","Dichotomous","Use (Discontinued)","Smoking status (dichotomous)",NA,NA,"Odds of having been a smoker; (smokers at baseline and non-smokers at follow-up)",NA,"RSA","Religious Service Attendance",NA,NA,NA,NA,"US Adults 20-79 from the Midlife in the United States (MIDUS) study","Prospective cohort study (9-10 years)","Controlled for baseline outcomes and some potential confounders (SES, parental marriage status, employment status, etc.).",NA,25,"Bailey et al. 2015 - 25","288da5"
"48008660-68fe-47ae-a09d-4ea923bd8422","Bailey et al. 2015","no",NA,"Low / Moderate","","OR","high-high",NA,NA,NA,0.54,0.26,1.111,NA,NA,NA,">0.05",NA,"3","Relapsed ex-smoker",NA,NA,"Substance Use","Smoking","Dichotomous","Use (Active)","Smoking status (dichotomous)",NA,NA,"relapsed smokers (ex-smokers at baseline and smokers at follow-up)",NA,"RSA","Religious Service Attendance",NA,NA,NA,NA,"US Adults 20-79 from the Midlife in the United States (MIDUS) study","Prospective cohort study (9-10 years)","Controlled for baseline outcomes and some potential confounders (SES, parental marriage status, employment status, etc.).",NA,26,"Bailey et al. 2015 - 26","98305f"
"f2bd6f83-764c-44b6-9801-1c647dc6cf3a","Bailey et al. 2015","no",NA,"Low / Moderate","","OR","high-low",NA,NA,NA,1.23,0.57,2.67,NA,NA,NA,">0.05",NA,"3","Relapsed ex-smoker",NA,NA,"Substance Use","Smoking","Dichotomous","Use (Active)","Smoking status (dichotomous)",NA,NA,"relapsed smokers (ex-smokers at baseline and smokers at follow-up)",NA,"RSA","Religious Service Attendance",NA,NA,NA,NA,"US Adults 20-79 from the Midlife in the United States (MIDUS) study","Prospective cohort study (9-10 years)","Controlled for baseline outcomes and some potential confounders (SES, parental marriage status, employment status, etc.).",NA,27,"Bailey et al. 2015 - 27","afbb39"
"74fe8d80-c074-4a29-bf05-9a75a0066c5c","Bailey et al. 2015","no",NA,"Low / Moderate","","OR","low-high",NA,NA,NA,0.46,0.1,2.05,NA,NA,NA,">0.05",NA,"3","Relapsed ex-smoker",NA,NA,"Substance Use","Smoking","Dichotomous","Use (Active)","Smoking status (dichotomous)",NA,NA,"relapsed smokers (ex-smokers at baseline and smokers at follow-up)",NA,"RSA","Religious Service Attendance",NA,NA,NA,NA,"US Adults 20-79 from the Midlife in the United States (MIDUS) study","Prospective cohort study (9-10 years)","Controlled for baseline outcomes and some potential confounders (SES, parental marriage status, employment status, etc.).",NA,28,"Bailey et al. 2015 - 28","28a9af"
"a723c05e-b338-4208-ac38-0c1fe117c44e","Bailey et al. 2015","no",NA,"Low / Moderate","","OR","low-low (Ref)",NA,NA,NA,1,NA,NA,NA,NA,NA,"na",NA,"3","Relapsed ex-smoker",NA,NA,"Substance Use","Smoking","Dichotomous","Use (Active)","Smoking status (dichotomous)",NA,NA,"relapsed smokers (ex-smokers at baseline and smokers at follow-up)",NA,"RSA","Religious Service Attendance",NA,NA,NA,NA,"US Adults 20-79 from the Midlife in the United States (MIDUS) study","Prospective cohort study (9-10 years)","Controlled for baseline outcomes and some potential confounders (SES, parental marriage status, employment status, etc.).",NA,29,"Bailey et al. 2015 - 29","3540b3"
"0bea056f-4430-4e1f-a360-8e6742ab8154","Bailey et al. 2015","yes",NA,"Low / Moderate","4496","OR","high-high",NA,"OR",NA,0.61,0.47,0.82,NA,NA,NA,"<0.001",NA,"3","PersistentSmoker","yes","preventative","Substance Use","Smoking","Dichotomous","Use (Active)","Smoking status (dichotomous)",NA,NA,"Odds of being a persistent smoker compared to a non-smoker",NA,"R/S","Religious Importance",NA,NA,"All measures of religious involvement (measured at two timepoints, hence two values, e.g., high- low) were associated with decreased odds of being a persistent smoker compared to a non-smoker: religious importance [ORhigh-high=0.61(95% CI: 0.47, 0.82)]",NA,"US Adults 20-79 from the Midlife in the United States (MIDUS) study","Prospective cohort study (9-10 years)",NA,NA,30,"Bailey et al. 2015 - 30","8d801e"
"6b904296-300d-4654-96c5-2678122ddaa0","Bailey et al. 2015","no","prefer the preventative effect","Low / Moderate","4496","OR","high-high",NA,NA,NA,0.66,0.47,0.93,NA,NA,NA,"<0.05",NA,"3","Ex-smoker",NA,NA,"Substance Use","Smoking","Dichotomous","Use (Active)","Smoking status (dichotomous)",NA,NA,"Decreased odds of having been a smoker",NA,"R/S","Religious Importance",NA,NA,"High religious involvement at both time points was associated with decreased odds of having been a smoker: religious importance [ORhigh-high=0. 66 (95% CI 0.47, 0.93)]",NA,"US Adults 20-79 from the Midlife in the United States (MIDUS) study","Prospective cohort study (9-10 years)",NA,NA,31,"Bailey et al. 2015 - 31","307ec9"
"bd5848b6-60a5-4321-9f84-84ad3335b786","Bailey et al. 2015","no",NA,"Low / Moderate","","OR","high-low",NA,NA,NA,0.83,0.56,1.25,NA,NA,NA,">0.05",NA,"3","PersistentSmoker",NA,NA,"Substance Use","Smoking","Dichotomous","Use (Active)","Smoking status (dichotomous)",NA,NA,"Odds of being a persistent smoker compared to a non-smoker",NA,"R/S","Religious Importance",NA,NA,NA,NA,"US Adults 20-79 from the Midlife in the United States (MIDUS) study","Prospective cohort study (9-10 years)",NA,NA,32,"Bailey et al. 2015 - 32","c9112e"
"2a57f994-9b46-40cd-9b18-dcb6a5b9ae6f","Bailey et al. 2015","no",NA,"Low / Moderate","","OR","low-high",NA,NA,NA,0.91,0.59,1.4,NA,NA,NA,">0.05",NA,"3","PersistentSmoker",NA,NA,"Substance Use","Smoking","Dichotomous","Use (Active)","Smoking status (dichotomous)",NA,NA,"Odds of being a persistent smoker compared to a non-smoker",NA,"R/S","Religious Importance",NA,NA,NA,NA,"US Adults 20-79 from the Midlife in the United States (MIDUS) study","Prospective cohort study (9-10 years)",NA,NA,33,"Bailey et al. 2015 - 33","2dc7b5"
"8d183794-6672-4359-a9af-fc31919200cd","Bailey et al. 2015","no",NA,"Low / Moderate","","OR","low-low (Ref)",NA,NA,NA,1,NA,NA,NA,NA,NA,"na",NA,"3","PersistentSmoker Reference",NA,NA,"Substance Use","Smoking","Dichotomous","Use (Active)","Smoking status (dichotomous)",NA,NA,"Odds of being a persistent smoker compared to a non-smoker",NA,"R/S","Religious Importance",NA,NA,NA,NA,"US Adults 20-79 from the Midlife in the United States (MIDUS) study","Prospective cohort study (9-10 years)",NA,NA,34,"Bailey et al. 2015 - 34","56637a"
"a1a1e259-3094-478c-8268-16ef2ffd7ecb","Bailey et al. 2015","no",NA,"Low / Moderate","4496","OR","high-high",NA,NA,NA,0.61,0.45,0.82,NA,NA,NA,"<0.001",NA,"3","PersistentSmoker",NA,NA,"Substance Use","Smoking","Dichotomous","Use (Active)","Smoking status (dichotomous)",NA,NA,"Odds of being a persistent smoker compared to a non-smoker",NA,"R/S","Spiritual Importance",NA,NA,"All measures of religious involvement (measured at two timepoints, hence two values, e.g., high- low) were associated with decreased odds of being a persistent smoker compared to a non-smoker: spiritual importance [ORhigh-high=0.61 (95% CI: 0.45, 0.82)]",NA,"US Adults 20-79 from the Midlife in the United States (MIDUS) study","Prospective cohort study (9-10 years)",NA,NA,35,"Bailey et al. 2015 - 35","8c6662"
"f3149c0c-2972-4500-b63b-fec90870aad5","Bailey et al. 2015","no",NA,"Low / Moderate","",NA,"high-low",NA,NA,NA,0.84,0.51,1.37,NA,NA,NA,">0.05",NA,"3","PersistentSmoker",NA,NA,"Substance Use","Smoking","Dichotomous","Use (Active)","Smoking status (dichotomous)",NA,NA,"Odds of being a persistent smoker compared to a non-smoker",NA,"R/S","Spiritual Importance",NA,NA,NA,NA,"US Adults 20-79 from the Midlife in the United States (MIDUS) study","Prospective cohort study (9-10 years)",NA,NA,36,"Bailey et al. 2015 - 36","9be291"
"bdd98fd1-989b-4eec-99a9-28820c7e22ae","Bailey et al. 2015","no",NA,"Low / Moderate","4496","OR","low-high",NA,NA,NA,0.58,0.38,0.88,NA,NA,NA,"<0.05",NA,"3","PersistentSmoker",NA,NA,"Substance Use","Smoking","Dichotomous","Use (Active)","Smoking status (dichotomous)",NA,NA,"Odds of being a persistent smoker compared to a non-smoker",NA,"R/S","Spiritual Importance",NA,NA,"All measures of religious involvement (measured at two timepoints, hence two values, e.g., high- low) were associated with decreased odds of being a persistent smoker compared to a non-smoker: spiritual importance [ORlow-high=0.58 (95% CI: 0.38, 0.88)]",NA,"US Adults 20-79 from the Midlife in the United States (MIDUS) study","Prospective cohort study (9-10 years)",NA,NA,37,"Bailey et al. 2015 - 37","8d155e"
"a465ddf8-265a-4b6b-8f86-db9a4457c9f5","Bailey et al. 2015","no",NA,"Low / Moderate","",NA,"low-low (Ref)",NA,NA,NA,1,NA,NA,NA,NA,NA,"na",NA,"3","PersistentSmoker Reference",NA,NA,"Substance Use","Smoking","Dichotomous","Use (Active)","Smoking status (dichotomous)",NA,NA,"Odds of being a persistent smoker compared to a non-smoker",NA,"R/S","Spiritual Importance",NA,NA,NA,NA,"US Adults 20-79 from the Midlife in the United States (MIDUS) study","Prospective cohort study (9-10 years)",NA,NA,38,"Bailey et al. 2015 - 38","0c738c"
"fff47a78-dfde-42cd-a99d-121406ae85cb","Bailey et al. 2015","yes",NA,"Low / Moderate","4496","OR","high-high",NA,"OR",NA,0.58,0.45,0.74,NA,NA,NA,"<0.001",NA,"3","PersistentSmoker","yes","preventative","Substance Use","Smoking","Dichotomous","Use (Active)","Smoking status (dichotomous)",NA,NA,"Odds of being a persistent smoker compared to a non-smoker",NA,"R/S","Religious/Spiritual Comfort Seeking",NA,NA,"All measures of religious involvement (measured at two timepoints, hence two values, e.g., high- low) were associated with decreased odds of being a persistent smoker compared to a non-smoker: religious/spiritual comfort seeking [ORhigh- high=0.59 (95% CI: 0.46, 0.75)]",NA,"US Adults 20-79 from the Midlife in the United States (MIDUS) study","Prospective cohort study (9-10 years)",NA,NA,39,"Bailey et al. 2015 - 39","3fa00a"
