uuid, AuthorYear,Include,BiasRating,N,StatType,StatTypeDetails,ModelDescription,StatGrouping,,Stat,CILow,CIHigh,SE,T-Ratio,Wald,PValue,Statistic from Largest Model,Table,ModelNumber,Finding In Abstract?,PreventativeOrRecovery,OutcomeType,OutcomeSubType,OutcomeScale,OutcomeScaleDetails,OutcomeDetails,Outcome Directionality,ToInvert,OutcomeNotes,Outcome Measured at Baseline?,ExposureCategory,Exposure,Exposure - Additional Notes,Exposure Measured at Baseline,Summary (SI),Notes,CountryPopulation,Design (F/U Period),Description of Quality/Bias,Reference
5264077b-b9a9-4148-a823-be8baae60732,Adamczyk and Felson 2012,no,Low / Moderate,"2,530",OR,,,,,0.99,,,,,,>0.1,yes,6,7,,,Substance Use,Alcohol,Frequency,Use (Frequency),Alcohol use,"1 - yes, 0 - no",,,,Activities,Religious Sponsored Activities,Involvement in activities sponsored by religious organizations,,,,US Youth (median age 15) from the National Study of Youth and Religion,Prospective cohort study (2 years),"Controlled for baseline outcomes and multiple other potential confounders (maternal demographics and behaviors, income, neighborhood factors); adjusted significance levels to account for multiple testing.",
dc8f5ca3-2361-4fd9-adfa-5a4afd3c4ac2,Adamczyk and Felson 2012,no,Low / Moderate,"2,530",OR,,,,,1.03,,,,,,<0.001,yes,6,7,,,Substance Use,Alcohol,Frequency,Use (Frequency),Alcohol use,"1 - yes, 0 - no",,,,Activities,Non-Religious Sponsored Activities,Involvement in activities sponsored by non-religious organizations (vs activities sponsored by religious organizations),,"Involvement in activities sponsored by non-religious organizations (vs activities sponsored by religious organizations) is associated with more alcohol use [OR=1.03, p<0.001]",,US Youth (median age 15) from the National Study of Youth and Religion,Prospective cohort study (2 years),"Controlled for baseline outcomes and multiple other potential confounders (maternal demographics and behaviors, income, neighborhood factors); adjusted significance levels to account for multiple testing.",
0afc2ce6-224c-4dc1-a34f-0ca24f1a45ea,Adamczyk and Felson 2012,yes,Low / Moderate,"2,530",OR,,,OR,,0.79,,,,,,<0.001,yes,6,8,no,preventative,Substance Use,Alcohol,Frequency,Use (Frequency),Alcohol use,,,,,R/S,Importance of Faith,,,,,US Youth (median age 15) from the National Study of Youth and Religion,Prospective cohort study (2 years),"Controlled for baseline outcomes and multiple other potential confounders (maternal demographics and behaviors, income, neighborhood factors); adjusted significance levels to account for multiple testing.",
562c956c-7abc-4501-b978-cb4263d3076a,Adamczyk and Felson 2012,yes,Low / Moderate,"2,530",OR,,,OR,,0.98,,,,,,>0.1,yes,6,8,no,preventative,Substance Use,Alcohol,Frequency,Use (Frequency),Alcohol use,,,,,R/S,Prayer frequency,,,,,US Youth (median age 15) from the National Study of Youth and Religion,Prospective cohort study (2 years),"Controlled for baseline outcomes and multiple other potential confounders (maternal demographics and behaviors, income, neighborhood factors); adjusted significance levels to account for multiple testing.",
72a0e79a-dc1c-4c7d-855b-addd60d9ec92,Adamczyk and Felson 2012,yes,Low / Moderate,"2,530",OR,oridinal logit,,OR,,1.020,,,,,,>0.1,yes,6,8,no,preventative,Substance Use,Alcohol,Frequency,Use (Frequency),Alcohol use,,,,,RSA,Religious Service Attendance,,,,,US Youth (median age 15) from the National Study of Youth and Religion,Prospective cohort study (2 years),"Controlled for baseline outcomes and multiple other potential confounders (maternal demographics and behaviors, income, neighborhood factors); adjusted significance levels to account for multiple testing.",
3c23a969-8182-41d1-a23b-4630374aa8e3,Adamczyk and Felson 2012,no,Low / Moderate,"2,530",OR,,,,,0.96,,,,,,<0.1,yes,6,8,,,Substance Use,Alcohol,Frequency,Use (Frequency),Alcohol use,"1 - yes, 0 - no",,,,Parents,Parental Religious Service Attendance,,,,,US Youth (median age 15) from the National Study of Youth and Religion,Prospective cohort study (2 years),"Controlled for baseline outcomes and multiple other potential confounders (maternal demographics and behaviors, income, neighborhood factors); adjusted significance levels to account for multiple testing.",
a17a3230-96ca-47c4-b7bb-456199158993,Bailey et al. 2015,yes,Low / Moderate,"4,496",OR,high-high; multinomial regression,,OR,,0.300,0.22,0.41,,,,<0.001,,3,PersistentSmoker,yes,preventative,Substance Use,Smoking,Dichotomous,Use (Active),Smoking status (dichotomous),,,Odds of being a persistent smoker compared to a non-smoker; (smokers at baseline and follow-up),,RSA,Religious Service Attendance,,,"All measures of religious involvement (measured at two timepoints, hence two values, e.g., high- low) were associated with decreased odds of being a persistent smoker compared to a non-smoker: religious attendance [ORhigh- high=0.30 (95% CI: 0.22, 0.41)] ","Multinomial regression models: religious involvement in relation to smoking pattern; adjustment for age, gender, race, education, and income",US Adults 20-79 from the Midlife in the United States (MIDUS) study,Prospective cohort study (9-10 years),"Controlled for baseline outcomes and some potential confounders (SES, parental marriage status, employment status, etc.).",
6f02a358-c758-4ec3-aa23-a617113a51a6,Bailey et al. 2015,no,Low / Moderate,"4,496",OR,high-low,,,,0.590,0.41,0.85,,,,<0.01,,3,PersistentSmoker,,,Substance Use,Smoking,Dichotomous,Use (Active),Smoking status (dichotomous),,,Odds of being a persistent smoker compared to a non-smoker; (smokers at baseline and follow-up),,RSA,Religious Service Attendance,,,"All measures of religious involvement (measured at two timepoints, hence two values, e.g., high- low) were associated with decreased odds of being a persistent smoker compared to a non-smoker: religious attendance [ORhigh-low=0.59 (95% CI: 0.41, 0.85)]",,US Adults 20-79 from the Midlife in the United States (MIDUS) study,Prospective cohort study (9-10 years),"Controlled for baseline outcomes and some potential confounders (SES, parental marriage status, employment status, etc.).",
c8136e44-e420-4850-8689-dd8ddb720b7a,Bailey et al. 2015,no,Low / Moderate,,OR,low-high,,,,0.980,0.63,1.54,,,,>0.05,,3,PersistentSmoker,,,Substance Use,Smoking,Dichotomous,Use (Active),Smoking status (dichotomous),,,Odds of being a persistent smoker compared to a non-smoker; (smokers at baseline and follow-up),,RSA,Religious Service Attendance,,,,,US Adults 20-79 from the Midlife in the United States (MIDUS) study,Prospective cohort study (9-10 years),"Controlled for baseline outcomes and some potential confounders (SES, parental marriage status, employment status, etc.).",
3370338f-2d74-4ca6-8242-d43303637050,Bailey et al. 2015,no,Low / Moderate,,OR,low-low (Ref),,,,1.000,,,,,,n/a,,3,PersistentSmoker Reference,,,Substance Use,Smoking,Dichotomous,Use (Active),Smoking status (dichotomous),,,Odds of being a persistent smoker compared to a non-smoker; (smokers at baseline and follow-up),,RSA,Religious Service Attendance,,,,,US Adults 20-79 from the Midlife in the United States (MIDUS) study,Prospective cohort study (9-10 years),"Controlled for baseline outcomes and some potential confounders (SES, parental marriage status, employment status, etc.).",
8b4e6a5b-4bf9-47d8-80b4-22a0034afaca,Bailey et al. 2015,no,Low / Moderate,"4,496",OR,high-high,,,,0.510,0.34,0.76,,,,<0.001,,3,Ex-smoker,,,Substance Use,Smoking,Dichotomous,Use (Discontinued),Smoking status (dichotomous),,,Odds of having been a smoker; (smokers at baseline and non-smokers at follow-up),,RSA,Religious Service Attendance,,,"High religious involvement at both time points was associated with decreased odds of having been a smoker: religious attendance [ORhigh-high=0.51 (95% CI: 0.34, 0.76)]",,US Adults 20-79 from the Midlife in the United States (MIDUS) study,Prospective cohort study (9-10 years),"Controlled for baseline outcomes and some potential confounders (SES, parental marriage status, employment status, etc.).",
bb58a580-fd27-4483-8879-4f0ef2489ea9,Bailey et al. 2015,no,Low / Moderate,,OR,high-low,,,,0.800,0.49,1.29,,,,>0.05,,3,Ex-smoker,,,Substance Use,Smoking,Dichotomous,Use (Discontinued),Smoking status (dichotomous),,,Odds of having been a smoker; (smokers at baseline and non-smokers at follow-up),,RSA,Religious Service Attendance,,,,,US Adults 20-79 from the Midlife in the United States (MIDUS) study,Prospective cohort study (9-10 years),"Controlled for baseline outcomes and some potential confounders (SES, parental marriage status, employment status, etc.).",
f3303d04-5ae9-4f51-9b7f-0a33f6a39eb2,Bailey et al. 2015,no,Low / Moderate,,OR,low-high,,,,1.230,0.68,2.23,,,,>0.05,,3,Ex-smoker,,,Substance Use,Smoking,Dichotomous,Use (Discontinued),Smoking status (dichotomous),,,Odds of having been a smoker; (smokers at baseline and non-smokers at follow-up),,RSA,Religious Service Attendance,,,,,US Adults 20-79 from the Midlife in the United States (MIDUS) study,Prospective cohort study (9-10 years),"Controlled for baseline outcomes and some potential confounders (SES, parental marriage status, employment status, etc.).",
6fea7deb-8821-4071-840e-4c506fd67a0f,Bailey et al. 2015,no,Low / Moderate,,OR,low-low (Ref),,,,1.000,,,,,,,,3,Ex-smoker,,,Substance Use,Smoking,Dichotomous,Use (Discontinued),Smoking status (dichotomous),,,Odds of having been a smoker; (smokers at baseline and non-smokers at follow-up),,RSA,Religious Service Attendance,,,,,US Adults 20-79 from the Midlife in the United States (MIDUS) study,Prospective cohort study (9-10 years),"Controlled for baseline outcomes and some potential confounders (SES, parental marriage status, employment status, etc.).",
48008660-68fe-47ae-a09d-4ea923bd8422,Bailey et al. 2015,no,Low / Moderate,,OR,high-high,,,,0.540,0.26,1.111,,,,>0.05,,3,Relapsed ex-smoker,,,Substance Use,Smoking,Dichotomous,Use (Active),Smoking status (dichotomous),,,relapsed smokers (ex-smokers at baseline and smokers at follow-up),,RSA,Religious Service Attendance,,,,,US Adults 20-79 from the Midlife in the United States (MIDUS) study,Prospective cohort study (9-10 years),"Controlled for baseline outcomes and some potential confounders (SES, parental marriage status, employment status, etc.).",
f2bd6f83-764c-44b6-9801-1c647dc6cf3a,Bailey et al. 2015,no,Low / Moderate,,OR,high-low,,,,1.230,0.57,2.67,,,,>0.05,,3,Relapsed ex-smoker,,,Substance Use,Smoking,Dichotomous,Use (Active),Smoking status (dichotomous),,,relapsed smokers (ex-smokers at baseline and smokers at follow-up),,RSA,Religious Service Attendance,,,,,US Adults 20-79 from the Midlife in the United States (MIDUS) study,Prospective cohort study (9-10 years),"Controlled for baseline outcomes and some potential confounders (SES, parental marriage status, employment status, etc.).",
74fe8d80-c074-4a29-bf05-9a75a0066c5c,Bailey et al. 2015,no,Low / Moderate,,OR,low-high,,,,0.46,0.1,2.05,,,,>0.05,,3,Relapsed ex-smoker,,,Substance Use,Smoking,Dichotomous,Use (Active),Smoking status (dichotomous),,,relapsed smokers (ex-smokers at baseline and smokers at follow-up),,RSA,Religious Service Attendance,,,,,US Adults 20-79 from the Midlife in the United States (MIDUS) study,Prospective cohort study (9-10 years),"Controlled for baseline outcomes and some potential confounders (SES, parental marriage status, employment status, etc.).",
a723c05e-b338-4208-ac38-0c1fe117c44e,Bailey et al. 2015,no,Low / Moderate,,OR,low-low (Ref),,,,1.000,,,,,,na,,3,Relapsed ex-smoker,,,Substance Use,Smoking,Dichotomous,Use (Active),Smoking status (dichotomous),,,relapsed smokers (ex-smokers at baseline and smokers at follow-up),,RSA,Religious Service Attendance,,,,,US Adults 20-79 from the Midlife in the United States (MIDUS) study,Prospective cohort study (9-10 years),"Controlled for baseline outcomes and some potential confounders (SES, parental marriage status, employment status, etc.).",
0bea056f-4430-4e1f-a360-8e6742ab8154,Bailey et al. 2015,yes,Low / Moderate,"4,496",OR,high-high,,OR,,0.61,0.47,0.82,,,,<0.001,,3,PersistentSmoker,yes,preventative,Substance Use,Smoking,Dichotomous,Use (Active),Smoking status (dichotomous),,,Odds of being a persistent smoker compared to a non-smoker,,R/S,Religious Importance,,,"All measures of religious involvement (measured at two timepoints, hence two values, e.g., high- low) were associated with decreased odds of being a persistent smoker compared to a non-smoker: religious importance [ORhigh-high=0.61(95% CI: 0.47, 0.82)]",,US Adults 20-79 from the Midlife in the United States (MIDUS) study,Prospective cohort study (9-10 years),,
6b904296-300d-4654-96c5-2678122ddaa0,Bailey et al. 2015,no,Low / Moderate,"4,496",OR,high-high,,,,0.66,0.47,0.93,,,,<0.05,,3,Ex-smoker,,,Substance Use,Smoking,Dichotomous,Use (Active),Smoking status (dichotomous),,,Decreased odds of having been a smoker,,R/S,Religious Importance,,,"High religious involvement at both time points was associated with decreased odds of having been a smoker: religious importance [ORhigh-high=0. 66 (95% CI 0.47, 0.93)]",,US Adults 20-79 from the Midlife in the United States (MIDUS) study,Prospective cohort study (9-10 years),,
bd5848b6-60a5-4321-9f84-84ad3335b786,Bailey et al. 2015,no,Low / Moderate,,OR,high-low,,,,0.83,0.56,1.25,,,,>0.05,,3,PersistentSmoker,,,Substance Use,Smoking,Dichotomous,Use (Active),Smoking status (dichotomous),,,Odds of being a persistent smoker compared to a non-smoker,,R/S,Religious Importance,,,,,US Adults 20-79 from the Midlife in the United States (MIDUS) study,Prospective cohort study (9-10 years),,
2a57f994-9b46-40cd-9b18-dcb6a5b9ae6f,Bailey et al. 2015,no,Low / Moderate,,OR,low-high,,,,0.91,0.59,1.4,,,,>0.05,,3,PersistentSmoker,,,Substance Use,Smoking,Dichotomous,Use (Active),Smoking status (dichotomous),,,Odds of being a persistent smoker compared to a non-smoker,,R/S,Religious Importance,,,,,US Adults 20-79 from the Midlife in the United States (MIDUS) study,Prospective cohort study (9-10 years),,
8d183794-6672-4359-a9af-fc31919200cd,Bailey et al. 2015,no,Low / Moderate,,OR,low-low (Ref),,,,1.00,,,,,,na,,3,PersistentSmoker Reference,,,Substance Use,Smoking,Dichotomous,Use (Active),Smoking status (dichotomous),,,Odds of being a persistent smoker compared to a non-smoker,,R/S,Religious Importance,,,,,US Adults 20-79 from the Midlife in the United States (MIDUS) study,Prospective cohort study (9-10 years),,
a1a1e259-3094-478c-8268-16ef2ffd7ecb,Bailey et al. 2015,no,Low / Moderate,"4,496",OR,high-high,,,,0.61,0.45,0.82,,,,<0.001,,3,PersistentSmoker,,,Substance Use,Smoking,Dichotomous,Use (Active),Smoking status (dichotomous),,,Odds of being a persistent smoker compared to a non-smoker,,R/S,Spiritual Importance,,,"All measures of religious involvement (measured at two timepoints, hence two values, e.g., high- low) were associated with decreased odds of being a persistent smoker compared to a non-smoker: spiritual importance [ORhigh-high=0.61 (95% CI: 0.45, 0.82)]",,US Adults 20-79 from the Midlife in the United States (MIDUS) study,Prospective cohort study (9-10 years),,
f3149c0c-2972-4500-b63b-fec90870aad5,Bailey et al. 2015,no,Low / Moderate,,,high-low,,,,0.84,0.51,1.37,,,,>0.05,,3,PersistentSmoker,,,Substance Use,Smoking,Dichotomous,Use (Active),Smoking status (dichotomous),,,Odds of being a persistent smoker compared to a non-smoker,,R/S,Spiritual Importance,,,,,US Adults 20-79 from the Midlife in the United States (MIDUS) study,Prospective cohort study (9-10 years),,
bdd98fd1-989b-4eec-99a9-28820c7e22ae,Bailey et al. 2015,no,Low / Moderate,"4,496",OR,low-high,,,,0.58,0.38,0.88,,,,<0.05,,3,PersistentSmoker,,,Substance Use,Smoking,Dichotomous,Use (Active),Smoking status (dichotomous),,,Odds of being a persistent smoker compared to a non-smoker,,R/S,Spiritual Importance,,,"All measures of religious involvement (measured at two timepoints, hence two values, e.g., high- low) were associated with decreased odds of being a persistent smoker compared to a non-smoker: spiritual importance [ORlow-high=0.58 (95% CI: 0.38, 0.88)]",,US Adults 20-79 from the Midlife in the United States (MIDUS) study,Prospective cohort study (9-10 years),,
a465ddf8-265a-4b6b-8f86-db9a4457c9f5,Bailey et al. 2015,no,Low / Moderate,,,low-low (Ref),,,,1.00,,,,,,na,,3,PersistentSmoker Reference,,,Substance Use,Smoking,Dichotomous,Use (Active),Smoking status (dichotomous),,,Odds of being a persistent smoker compared to a non-smoker,,R/S,Spiritual Importance,,,,,US Adults 20-79 from the Midlife in the United States (MIDUS) study,Prospective cohort study (9-10 years),,
fff47a78-dfde-42cd-a99d-121406ae85cb,Bailey et al. 2015,yes,Low / Moderate,"4,496",OR,high-high,,OR,,0.58,0.45,0.74,,,,<0.001,,3,PersistentSmoker,yes,preventative,Substance Use,Smoking,Dichotomous,Use (Active),Smoking status (dichotomous),,,Odds of being a persistent smoker compared to a non-smoker,,R/S,Religious/Spiritual Comfort Seeking,,,"All measures of religious involvement (measured at two timepoints, hence two values, e.g., high- low) were associated with decreased odds of being a persistent smoker compared to a non-smoker: religious/spiritual comfort seeking [ORhigh- high=0.59 (95% CI: 0.46, 0.75)]",,US Adults 20-79 from the Midlife in the United States (MIDUS) study,Prospective cohort study (9-10 years),,
32d8a385-7cc2-47aa-86a3-6f6f673d6116,Bailey et al. 2015,no,Low / Moderate,"4,496",OR,high-high,,,,0.67,0.48,0.92,,,,<0.05,,3,,,,Substance Use,Smoking,Dichotomous,Use (Active),Smoking status (dichotomous),,,Decreased odds of having been a smoker,,R/S,Religious/Spiritual Comfort Seeking,,,"High religious involvement at both time points was associated with decreased odds of having been a smoker: religious/spiritual comfort seeking [ORhigh-high=0.67 (95% CI: 0.48, 0.92)]",,US Adults 20-79 from the Midlife in the United States (MIDUS) study,Prospective cohort study (9-10 years),,
db7212a7-6ac4-45f9-b5b9-e4d47db03782,Bailey et al. 2015,no,Low / Moderate,,OR,high-low,,,,0.93,0.65,1.33,,,,>0.05,,3,PersistentSmoker,,,Substance Use,Smoking,Dichotomous,Use (Active),Smoking status (dichotomous),,,Odds of being a persistent smoker compared to a non-smoker,,R/S,Religious/Spiritual Comfort Seeking,,,,,US Adults 20-79 from the Midlife in the United States (MIDUS) study,Prospective cohort study (9-10 years),,
d26120f8-227d-4988-b31f-52941d10954a,Bailey et al. 2015,no,Low / Moderate,,OR,low-high,,,,1.05,0.74,1.49,,,,>0.05,,3,PersistentSmoker,,,Substance Use,Smoking,Dichotomous,Use (Active),Smoking status (dichotomous),,,Odds of being a persistent smoker compared to a non-smoker,,R/S,Religious/Spiritual Comfort Seeking,,,,,US Adults 20-79 from the Midlife in the United States (MIDUS) study,Prospective cohort study (9-10 years),,
6b75c494-deea-4c9b-b654-018030c18140,Bailey et al. 2015,no,Low / Moderate,,OR,low-low (Ref),,,,1.00,,,,,,na,,3,PersistentSmoker Reference,,,Substance Use,Smoking,Dichotomous,Use (Active),Smoking status (dichotomous),,,Odds of being a persistent smoker compared to a non-smoker,,R/S,Religious/Spiritual Comfort Seeking,,,,,US Adults 20-79 from the Midlife in the United States (MIDUS) study,Prospective cohort study (9-10 years),,
c8e28cd7-b401-4758-ac66-ed0430f5d666,Bailey et al. 2015,no,Low / Moderate,"4,496",OR,high-high,,,,0.57,0.45,0.72,,,,<0.001,,3,PersistentSmoker,,,Substance Use,Smoking,Dichotomous,Use (Active),Smoking status (dichotomous),,,Odds of being a persistent smoker compared to a non-smoker,,R/S,Religious/Spiritual Decision Making,,,"All measures of religious involvement (measured at two timepoints, hence two values, e.g., high- low) were associated with decreased odds of being a persistent smoker compared to a non-smoker: religious/spiritual decision-making [ORhigh- high=0.58 (95% CI: 0.45, 0.74)]",,US Adults 20-79 from the Midlife in the United States (MIDUS) study,Prospective cohort study (9-10 years),,
91ddbf7c-390a-4abc-95cd-1d70166ea54c,Bailey et al. 2015,no,Low / Moderate,"4,496",OR,high-high,,,,0.70,0.51,0.97,,,,<0.05,,3,,,,Substance Use,Smoking,Dichotomous,Use (Active),Smoking status (dichotomous),,,Decreased odds of having been a smoker,,R/S,Religious/Spiritual Decision Making,,,"High religious involvement at both time points was associated with decreased odds of having been a smoker: religious/spiritual decision-making [ORhigh- high=0.70 (95% CI: 0.51, 0.97)]",,US Adults 20-79 from the Midlife in the United States (MIDUS) study,Prospective cohort study (9-10 years),,
0f56d309-a90b-406b-b2e9-4f1ff630299f,Bailey et al. 2015,no,Low / Moderate,,OR,high-low,,,,0.97,0.69,1.37,,,,>0.05,,3,PersistentSmoker,,,Substance Use,Smoking,Dichotomous,Use (Active),Smoking status (dichotomous),,,Odds of being a persistent smoker compared to a non-smoker,,R/S,Religious/Spiritual Decision Making,,,,,US Adults 20-79 from the Midlife in the United States (MIDUS) study,Prospective cohort study (9-10 years),,
a3429efd-f5b4-48f4-9186-b667ad441900,Bailey et al. 2015,no,Low / Moderate,,OR,low-high,,,,0.71,0.5,1,,,,>0.05,,3,PersistentSmoker,,,Substance Use,Smoking,Dichotomous,Use (Active),Smoking status (dichotomous),,,Odds of being a persistent smoker compared to a non-smoker,,R/S,Religious/Spiritual Decision Making,,,,,US Adults 20-79 from the Midlife in the United States (MIDUS) study,Prospective cohort study (9-10 years),,
8012d3f1-2dfd-4d0c-98e2-45c02c889b10,Bailey et al. 2015,no,Low / Moderate,,OR,low-low (Ref),,,,1.00,,,,,,na,,3,PersistentSmoker Reference,,,Substance Use,Smoking,Dichotomous,Use (Active),Smoking status (dichotomous),,,Odds of being a persistent smoker compared to a non-smoker,,R/S,Religious/Spiritual Decision Making,,,,,US Adults 20-79 from the Midlife in the United States (MIDUS) study,Prospective cohort study (9-10 years),,
b69b653f-cca0-4226-a690-39292226ef37,Bailey et al. 2015,yes,Low / Moderate,387?,OR,high-high,,OR,,1.75,1.01,3.03,,,,<0.05,,5,,yes,recovery,Substance Use,Smoking,Dichotomous,Use (Discontinued) - Unsuccessful,Unsuccessful Quit Attempt,need to invert,TRUE,,,RSA,Religious Service Attendance,,,,,,,,
f8a359d8-df10-4f46-9be9-9b870b914dc8,Bailey et al. 2015,no,Low / Moderate,387?,OR,high-low,,,,1.20,0.65,2.22,,,,>0.05,,5,,,,Substance Use,Smoking,Dichotomous,Use (Discontinued) - Unsuccessful,Unsuccessful Quit Attempt,need to invert,,,,RSA,Religious Service Attendance,,,,,,,,
8a33edfb-d90c-4a4d-a61c-9feb15f59bb8,Bailey et al. 2015,no,Low / Moderate,387?,OR,low-high,,,,1.21,0.57,2.54,,,,>0.05,,5,,,,Substance Use,Smoking,Dichotomous,Use (Discontinued) - Unsuccessful,Unsuccessful Quit Attempt,need to invert,,,,RSA,Religious Service Attendance,,,,,,,,
